model,term,mean_coef,sd_coef,min_coef,max_coef,sign_consistent
M1_pois_manuf_trend,C(DISPLAY)[T.1],0.45751720018491915,0.020177817450833028,0.43611968638462556,0.48043757453902614,True
M1_pois_manuf_trend,discount,3.6198248290709456,0.039338148070195186,3.5521392184070804,3.6537924481978683,True
M1_pois_manuf_trend,log_base,-1.0826478646771214,0.13845539644613164,-1.2390600580906788,-0.9624329686550905,True
M3_pois_upc_season,C(DISPLAY)[T.1],0.43303822500365136,0.015206164904293343,0.4162360718917318,0.44946298459263284,True
M3_pois_upc_season,discount,3.640429159589523,0.0535967331897772,3.5799884617100295,3.7087906724577486,True
M3_pois_upc_season,log_base,-1.1682047187317712,0.10273905254242072,-1.281308835905765,-1.0772122572953953,True
M4_pois_upc_store_season,C(DISPLAY)[T.1],0.3230884755245749,0.00852292584508108,0.31266115418997004,0.3318085775834771,True
M4_pois_upc_store_season,discount,3.8444992877734783,0.10302179032163454,3.7270506337912397,3.965990458935964,True
M4_pois_upc_store_season,log_base,-2.282969369923901,0.09741522677783741,-2.413994456911078,-2.1982524411111024,True
M5_pois_upc_store_season_dispint,C(DISPLAY)[T.1],0.9754239510890864,0.09130545301937631,0.8412921054766919,1.055448834820098,True
M5_pois_upc_store_season_dispint,discount,3.722484168170147,0.07150785681664308,3.6427981852857636,3.810833677427376,True
M5_pois_upc_store_season_dispint,discount:C(DISPLAY)[T.1],0.5027250870142563,0.0740756606963189,0.40840309471659214,0.577779329205816,True
M5_pois_upc_store_season_dispint,log_base,-2.342614309844201,0.08783210990525799,-2.459453254476373,-2.2593039437771436,True
M5_pois_upc_store_season_dispint,log_base:C(DISPLAY)[T.1],-0.4358678850769563,0.05128802081046521,-0.4886926396722824,-0.35901629260879586,True
